,mortality,temp,chem1,chem2,particle size
1,97.85,72.38,11.51,3.37,72.72
2,104.64,67.19,8.92,2.59,49.6
3,94.36,62.94,9.48,3.29,55.68
4,98.05,72.49,10.28,3.04,55.16
5,95.85,74.25,10.57,3.39,66.02
6,95.98,67.88,7.99,2.57,44.01
7,88.63,74.2,10.51,2.35,47.83
8,90.85,74.88,9.84,3.38,43.6
9,92.06,64.17,6.61,1.5,24.99
10,88.75,67.09,7.9,2.56,40.41
11,94.6,78.29,10.74,3.04,51.93
12,92.86,68.07,5.89,2.64,32.26
13,98.02,86.7,12.7,5.14,73.65
14,87.64,69.43,4.82,2.87,30.15
15,97.4,75.22,7.1,3.54,41.1
16,83.24,77.29,6.29,2.67,41.53
17,86.6,69.96,5.03,1.55,29.46
18,90.69,79.35,7.81,2.93,51.13
19,82.86,82.94,7.97,3.64,41.37
20,99.06,89.79,9.53,5.91,59.49
21,81,80.19,7.55,3.69,48.25
22,93.18,87.58,8.61,4.3,51.73
23,86.86,81.76,6.73,3.97,44.21
24,89.35,86.79,9.78,4.98,59.59
25,87.13,87.46,9.28,5.64,60.82
26,88.39,88.21,9.08,3.99,55.01
27,85.38,83.4,7.5,4.2,50.59
28,83.96,86.1,9.8,4.48,55.05
29,84.95,82.16,8.93,3.96,48
30,86.81,81.31,9.81,3.65,55.37
31,85.25,78.99,12.34,4.91,64.44
32,94.72,92.56,16.32,4.26,75
33,90.96,84.5,13.61,4.02,61.46
34,87.73,76.44,11.64,2.95,50.04
35,92.58,73.97,10.19,3.73,49.9
36,87.02,69.63,9.76,2.02,51.14
37,92.68,81.05,22.19,4.98,77.88
38,97.95,69.57,11.02,3.05,46.71
39,94.19,78.05,19.36,3.73,73.86
40,93.95,70.61,20.55,3.53,76.87
41,92.29,60.95,10.82,2.24,39.85
42,93.48,67.74,20.05,3.03,71.52
43,97.41,68.5,18.6,2.81,63.87
44,96.98,54.84,11.9,2,48.81
45,106.6,60.58,16.83,2.27,68.82
46,112.41,62.14,14.66,2.9,64.39
47,118.59,51.26,13.6,3.31,81.76
48,107.9,72.55,20.29,3.44,73.55
49,111.82,64.42,14.13,3.13,67.99
50,102.78,78.25,22.39,4.42,75.37
51,100.63,59.17,11.15,3.6,65.23
52,106.54,80.89,19.96,4.86,69.91
53,105.39,58.63,8.41,1.79,44.34
54,104.99,62.5,7.36,2.95,40.8
55,102.72,67.52,11.45,3.64,55.09
56,104.67,63.56,6.63,2.79,38.44
57,103.3,74.87,10.11,3.77,53.54
58,98.46,64.98,6.23,3.25,42.46
59,100.78,82.7,11.15,4.78,53.22
60,94.43,72.63,7.92,3.37,44.41
61,92.16,65.36,5.38,2.24,31.29
62,92.13,63.33,5.63,2,31.1
63,95.04,66.1,5.72,2.78,35.92
64,86.88,64.85,6.41,2.38,37.73
65,95.29,76.37,6.27,3.27,35
66,85.39,75.27,6.35,2.82,36.25
67,92.63,65.15,3.4,2.23,22.75
68,88.72,69.62,4.7,1.95,32.26
69,87.09,72.81,5.09,2.57,34.77
70,83.92,85.57,7.92,4.94,52.73
71,89.01,78.58,5.1,3.45,36.59
72,78.14,77.32,4.73,2.83,30.04
73,92.84,87.27,7.96,4.75,49.91
74,88.65,86.29,6.28,3.49,42.6
75,86.66,83.55,5.46,3.84,35.89
76,82.04,88.57,6.88,4.08,41.76
77,105.15,95.34,8.86,6.49,47.03
78,94.19,88.18,6.37,4.05,36.62
79,83.99,82.71,4.64,3.12,31.4
80,88.22,89.8,9.06,4.83,46.76
81,85.59,81.63,4.92,3.35,30.6
82,99.21,98.95,12.41,6.53,60.58
83,87.77,82.58,5.63,3.1,33.3
84,90.39,79.74,9.57,3.53,50.08
85,82.25,77.31,9.21,2.34,46.99
86,102.92,99.88,17.13,6.57,73.07
87,86.84,69.19,7.22,4.07,50.28
88,97.22,76.29,13.53,3.62,71.6
89,94.97,64.28,8.43,1.92,50.09
90,104.86,78.61,16.81,6.04,82.85
91,80.53,65.87,9.9,3.92,58.36
92,102.47,68.18,14.13,3.11,62.63
93,97.8,65.98,13.42,3.77,71.27
94,95.28,63.95,9.76,3.05,50.85
95,105.64,57.65,11.27,2.84,65.13
96,106.44,64.27,15.63,4.19,74.74
97,110.65,55.18,7.79,1.93,39.59
98,114.41,63.52,12.95,3.36,69.67
99,115.98,63.95,16.95,5.92,84.23
100,112.72,69.91,19.75,5.49,84.96
101,115.99,58.9,10.55,4.97,67.68
102,104.14,65.25,13.33,2.53,58.62
103,109.3,62.79,11.42,3.98,57.02
104,111.47,71.43,13.62,3.15,64.58
105,102.67,68.72,12.02,5.44,63.25
106,101.34,66.96,10.46,4.92,56.92
107,94.97,75.68,7.81,4.9,46.59
108,90.48,68.57,8.25,4.82,49.2
109,93.7,68.62,6.46,4.48,48.55
110,81.87,69.61,7.51,3.89,39.16
111,91.12,71.89,7.85,3.75,43.59
112,90.55,73.66,8.41,4.02,43.26
113,89.62,70.67,6.53,2.78,35.86
114,91.63,69.9,7.49,2.64,40.4
115,89.22,80.23,7.42,4.97,44.84
116,84.81,67.16,3.89,2.46,28.72
117,95,81.71,7.99,4.57,44.4
118,83.77,66.2,3.68,1.97,24.24
119,98.26,80.79,6.98,2.49,37.13
120,82.87,84.12,5.23,3.49,38.01
121,85.51,75.52,5.53,2.53,32.22
122,84.67,81.55,5.22,3.32,32.86
123,84.45,75.88,4.69,2.26,25.83
124,93.96,82.45,5.42,4.78,37.95
125,82.47,84.86,6.44,5.33,36.93
126,89.18,84.93,5.47,3.46,34.03
127,87.33,79.73,4.92,2.85,27.68
128,92.67,97.2,10.07,5.08,52.62
129,93.83,85.97,5.57,3.65,36.51
130,86.65,82,4.74,2.86,33.53
131,89.35,81.95,6.59,2.75,39.94
132,77.97,83.56,6.22,3.05,36.85
133,86.06,86.14,6.53,3.15,38.93
134,83.34,77.63,4.4,2.44,24.55
135,87.35,77.19,7.67,3.87,48.89
136,90.58,82.16,8.39,2.59,48.69
137,84.72,78.57,7.42,3.72,42.71
138,88.32,78.92,8.1,2.67,42.34
139,82.62,74.47,9.12,1.98,50.98
140,92.52,71.01,10.04,4.3,56.67
141,86.73,72.2,10.56,2.95,61.51
142,99.54,72.59,14.36,3.96,73.11
143,95.5,65.8,9.08,2.82,57.48
144,92.34,64.16,10.55,2.66,56.63
145,97.49,73.18,13.84,3.22,67.47
146,97.9,74.71,16.64,3.6,71.64
147,97.54,50.91,8.04,1.92,54.52
148,103.78,66.46,12.8,3.05,74.98
149,110.17,75.48,17.6,3.32,74.95
150,116.04,67.78,10.18,3.42,57.3
151,132.04,56.68,11.13,2.24,71.59
152,126.95,70.08,14.21,3.51,69.8
153,121.11,58.58,8.14,1.93,47.92
154,119.3,67.7,11.7,2.97,63.78
155,118.2,63.88,10.32,2.02,59.76
156,102.36,59.07,6.63,2.2,40.04
157,98.44,68.55,9.27,2.73,47.44
158,97.87,68.35,7.46,2.14,42.77
159,92.98,65.6,7.64,2.11,41.51
160,96.16,58.75,5.41,1.79,31.86
161,86.83,65.67,7.08,2.43,41.68
162,91.09,59.85,5.21,2.08,29.07
163,92.5,63.95,5.18,2.25,30.83
164,90.64,77.14,7.57,2.16,44.48
165,80.69,66.59,5.26,3.28,38.35
166,99.91,72.86,5.67,2.22,30.98
167,89.09,67.87,4.71,3.06,37.46
168,94.25,73.61,5.75,2.41,39.57
169,93.33,71.45,5.41,3.41,40.28
170,84.08,69.97,4,2.43,31.64
171,86.37,78.49,5.65,3.76,36.16
172,86.61,72.52,3.69,2.48,26.97
173,82.47,84.84,6.96,4.27,45.76
174,82.73,72.97,4.33,1.7,28.17
175,98.29,96.23,8.23,4.72,47.48
176,87.02,81.68,4.89,4.93,37.47
177,91.13,83.17,5.33,4.57,38.23
178,80.23,79.42,3.46,3.2,30.47
179,81.36,78.64,5.14,4.24,32.5
180,82.8,86.44,6.21,4.73,42.1
181,87.24,82.08,4.78,4.1,33.92
182,79.37,80.73,4.28,3.75,30.54
183,86.83,87.68,7.36,5.91,45.7
184,82,81.44,5.76,3.85,37.03
185,77.96,77.34,3.88,2.78,30.5
186,79.69,75.18,4.2,2.6,33.47
187,87.32,75.85,4.9,3.23,36.95
188,85.33,74.24,6.1,4.05,41.08
189,92.02,87.78,11.14,3.95,56.16
190,84.03,69.09,5.59,3.46,41.31
191,83.45,82.08,13.21,4.43,66.01
192,82.35,79.84,10.39,3.85,56.46
193,89.17,82.8,13.33,4.01,62.06
194,82.24,73.56,10.34,2.93,54.2
195,93.35,73.74,13.51,5.65,73.04
196,89.16,63.94,7.89,1.86,45.54
197,95.13,63.08,8.88,2.92,53.33
198,89.1,64.79,12.47,3.44,67.77
199,100.32,75.45,16.17,3.3,75.61
200,95.61,67.12,13.99,3.64,71.46
201,99.61,69.12,11.82,3.1,63.29
202,105.82,61.56,8.9,2.25,62.04
203,104.2,51.22,5.07,1.1,38.94
204,95.45,64.28,11.93,2.39,63.31
205,90.48,65.41,11.94,2.76,67.74
206,93.58,65.45,13.15,3.26,73.76
207,91.71,65.68,12.8,3.26,70.13
208,95.29,72.25,11.26,2.79,65.87
209,94.69,63.18,9.4,3.2,53.98
210,102.5,71.55,8.58,2.15,52.55
211,98.58,67.3,8.16,2.71,47.86
212,107.12,59.64,7.12,2,46.35
213,99.29,73.43,11,3.7,63.72
214,96.85,61.91,3.95,1.51,30.78
215,89.02,64.85,4.66,2.24,30.02
216,96.27,74.43,5.81,1.94,38.49
217,97.55,74.39,5.96,2.3,42.06
218,85.16,70.8,5.46,2.49,37.61
219,94.77,72.49,4.53,2.48,40.2
220,85.45,70.06,3.69,2.2,29.69
221,97.46,70.25,3.64,2.26,29.53
222,83.31,66.51,3.26,1.85,25.86
223,91.41,83.11,5.48,2.76,38.95
224,88.84,71.29,3.38,2.26,25.7
225,86.44,75.49,3.46,2.57,27.84
226,82.08,80.98,4.77,2.55,35.82
227,83.63,83.52,5.28,4.26,35.45
228,95.22,88.27,6.79,3.84,42.62
229,80.28,77.88,2.9,1.79,25.63
230,85.59,82.23,5.08,2.55,33.96
231,84.68,90.75,6.1,3.02,42.15
232,81.53,86.58,4.88,2.53,37.38
233,89.2,84.8,4.55,2.49,30.58
234,74.51,80.32,3.04,1.86,23.68
235,81.85,80.23,4.88,2.22,33.1
236,81.97,82.88,4.71,2.9,36.67
237,85.01,85,6.54,3.39,38.6
238,86.98,88.96,7.71,3.83,45.79
239,81.67,78.11,5.41,2.7,33.46
240,91.11,85.06,9.29,4.59,50.93
241,83.38,76.39,6.08,2.49,41.47
242,86.18,74.23,6.38,2.33,28.15
243,89.93,76.42,9.17,2.46,54.62
244,91.82,83.68,12.72,3.9,59.46
245,92.27,67.62,6.84,1.97,35.47
246,89.29,64.36,9.72,2.44,52.77
247,85.41,81.7,12.82,2.47,65.32
248,96.78,72.67,14,3.75,66.49
